REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
OR,Orthopedic,OQG,"Hip Prosthesis, Semi-Constrained, Cemented, Metal/Polymer, + Additive, Porous, Uncemented",2,IDE,N,N,,888.3358,1,510(K),"1. Non-inflammatory degenerative joint disease including osteoarthritis and avascular necrosis.  2. Rheumatoid arthritis.  3. Correction of functional deformity.  4. Treatment of non-union, femoral neck fracture, and trochanteric fractures of the proximal femur with head involvement, unmanageable by other techniques.  5. Revision procedures where other treatment or devices have failed.  Cemented and uncemented use.",May include:    Acetabular Shell  Acetabular Liner  Femoral Head  Femoral Stem  Femoral Neck  Instrumentation,This device is intended to be implanted to replace a hip joint. The device limits translation and rotation in one or more planes via the geometry of its articulating surfaces. It has no linkage across the joint. This generic type of device has a femoral component made of a cobalt-chromium-molybdenum (Co-Cr-Mo) alloy and an acetabular component composed of an ultra-high molecular weight polyethylene containing an additive such as a-tocopherol articulating bearing surface fixed in a metal shell made of Co-Cr-Mo or Ti-6Al-4V. The stem/shell are coated with a porous coating to achieve cementless biological fixation.,Hip,Y,N,Eligible
OR,Orthopedic,OQH,"Hip, Semi-Constrained, Cemented, Metal/Polymer + Additive, Cemented",2,IDE,N,N,,888.3350,1,510(K),"1. Non-inflammatory degenerative joint disease including osteoarthritis and avascular necrosis.  2. Rheumatoid arthritis.  3. Correction of functional deformity.  4. Treatment of non-union, femoral neck fracture, and trochanteric fractures of the proximal femur with head involvement, unmanageable by other techniques.  5. Revision procedures where other treatment or devices have failed.  Cemented and uncemented use.",May include:    Acetabular Shell  Acetabular Liner  Femoral Head  Femoral Stem  Femoral Neck  Instrumentation,"This device is intended to be implanted to replace a hip joint. The device limits translation and rotation in one or more planes via the geometry of its articulating surfaces. It has no linkage across-the-joint. This generic type of device includes prostheses that have a femoral component made of alloys, such as cobalt-chromium-molybdenum, and an acetabular resurfacing component made of ultra-high molecular weight polyethylene containing an additive such as a-tocopherol and is limited to those prostheses intended for use with bone cement.",hip,Y,N,Eligible
OR,Orthopedic,OQI,"Hip, Semi-Constrained, Cemented, Metal/Ceramic/Polymer + Additive, Porous Uncemented",2,IDE,N,N,,888.3353,1,510(K),"1. Non-inflammatory degenerative joint disease including osteoarthritis and avascular necrosis.  2. Rheumatoid arthritis.  3. Correction of functional deformity.  4. Treatment of non-union, femoral neck fracture, and trochanteric fractures of the proximal femur with head involvement, unmanageable by other techniques.  5. Revision procedures where other treatment or devices have failed.  Cemented and uncemented use.",May include:    Acetabular Shell  Acetabular Liner  Femoral Head  Femoral Stem  Femoral Neck  Instrumentation,"A hip joint metal/ceramic/polymer semi-constrained cemented or nonporous uncemented prosthesis is a device intended to be implanted to replace a hip joint. The two-part femoral component consists of a femoral stem made of alloys to be fixed in the intramedullary canal of the femur by impaction with or without use of bone cement. The proximal end of the femoral stem is tapered with a surface that ensures positive locking with the spherical ceramic (aluminium oxide, A1203) head of the femoral component. The acetabular component is made of ultra-high molecular weight polyethylene containing an additive such as a-tocopherol, and used with or without bone cement.",hip,Y,N,Eligible
MI,Microbiology,OQW,"2009 H1n1 Influenza Virus (Swine Origin), Nucleic Acid Or Antigen, Detection And Identification",2,IDE,N,N,,866.3332,1,510(K),2009 H1N1 influenza virus detection and identification reagents are used to directly detect and differentiate the 2009 H1N1 influenza virus in human respiratory specimens,Reagent Kit,Nucleic acid amplification or antigen detection assays,The device is an in-vitro diagnostic device; none of the body parts will utilize the device or are intended to be affected by the device,N,N,Ineligible
HO,General Hospital,LZA,Polymer Patient Examination Glove,1,Pre-Amendment,N,Y,,880.6250,1,510(K),"A  nitrile (or polymer) patient examination glove is a disposable device made of nitrile rubber or synthetic polymers that may or may not bear a trace amount of residual powder, and is intended to be worn on the hand for medical purposes to provide a barrier against potentially infectious materials and other contaminants.",,,,N,N,Eligible
SU,General & Plastic Surgery,PMC,Scalp Cooling System,2,IDE,N,N,,878.4360,1,510(K),A  scalp cooling system is intended to reduce or prevent the frequency and severity of alopecia during chemotherapy in which alopecia-inducing chemotherapeutic agents are used.,"a cooling cap which is placed on the patients head and a cooling system that houses the cooling liquid, controls the temperature, and has a user interface",A cooling cap with cooling fluid running through the cap cools the scalp.    A cooling tank consists of a computer controlled system that includes a refrigerated tank containing the cooling agent that maintain the temperature of the cooling fluid.,The scalp,N,N,Eligible
CH,Clinical Chemistry,PSL,25-Oh-Vitamin D Mass Spectrometry Test System,2,IDE,N,N,,862.1840,4,510(K) Exempt,A 25-OH-Vitamin D Mass Spectrometry test system is intended to  for vitro diagnostic use in the quantitative determination of total 25-hydroxyvitamin D (25-OH-D)using mass spectrometry.,"Mass spectrometer, liquid chromatography-tandem mass spectrometer","Liquid chromatography-tandem mass spectrometry (LC-MS/MS), mass spectrometry",In vitro diagnostic use,N,N,Ineligible
DE,Dental,NPM,"Bone Grafting Material, Animal Source",2,IDE,N,N,,872.3930,1,510(K),"A animal-source bone grafting material is a naturally-derived device, such as collagen, intended to fill, augment, or reconstruct periodontal defects and or bony defects of the upper or lower jaw.",,,,Y,N,Eligible
CV,Cardiovascular,OZT,Balloon Aortic Valvuloplasty,2,IDE,N,N,,870.1255,1,510(K),A balloon aortic valvuloplasty catheter is indicated for balloon valvuloplasty of the aortic valve.,"Generally, a balloon aortic valvuloplasty catheter is a coaxial catheter comprised of outer and inner layers. The catheter features a molded proximal end bifurcated with two distinct luminal passages. The inflation lumen terminates into a distally mounted balloon made of polyamide. Upon reaching a specified pressure, the waist will expand to the rated balloon diameter and dilate the valve to the rated diameter.","The catheter is inserted into the body and directed towards the aortic valve. Once the catheter is placed in the valve, the balloon is expanded which compresses and/or breaks the material causing stenosis.",The aortic valve of the heart.,N,N,Eligible
HO,General Hospital,QLE,Protective Barrier Enclosure With Negative Pressure,11,Not FDA Regulated,N,N,,,8,EUA - Emergency Use Authorization,A barrier device with negative pressure which partially or fully covers a patient to prevent HCP exposure to pathogenic biological airborne particulates. These barrier devices include ports for medical care and/or procedures.,Protective Barrier Enclosure with Negative Pressure,Protective Barrier Enclosure with Negative Pressure,Infection Control,N,N,Ineligible
